id,name,sex,power,fans,type
HP,Harry Portter,1,,,
RW,Ronald Weasley,1,,,
HG,Hermine Granger,2,,,
RH,"Rubeus Hagrid",1,,,
AD,Albus Dumbledore,1,,,
SS,Severus Snape,1,,,
LV,"Lord Voldemort",1,,,
DM,Draco Malfoy,1,,,
LM,Lucius Malfoy,1,,,
GG,Gregory Goyle,1,,,
VC,Vincent Crabbe,1,,,
