from,to,weight,relationship,time
HP,RW,5,,
HP,HG,5,,
HP,RH,4,,
HP,AD,3,,
RW,HP,5,,
RW,HG,5,,
RW,RH,3,,
HG,RW,5,,
HG,HP,5,,
HG,RH,3,,
RH,HP,4,,
RH,RW,3,,
RH,HG,3,,
RH,AD,4,,
AD,HP,3,,
AD,RH,4,,
AD,SS,2,,
SS,AD,2,,
SS,LV,1,,
SS,LM,1,,
LV,SS,3,,
LV,LM,1,,
DM,LM,3,,
DM,VC,3,,
DM,GG,3,,
LM,DM,4,,
LM,LV,4,,
LM,SS,1,,
GG,DM,3,,
GG,VC,4,,
VC,DM,3,,
VC,GG,4,,
