id,name,sex,power,fans,type
HP,Harry Portter,,,,
RW,Ronald Weasley,,,,
HG,Hermine Granger,,,,
RH,"Rubeus Hagrid",,,,
AD,Albus Dumbledore,,,,
SS,Severus Snape,,,,
LV,"Lord Voldemort",,,,
DM,Draco Malfoy,,,,
LM,Lucius Malfoy,,,,
GG,Gregory Goyle,,,,
VC,Vincent Crabbe,,,,
