from,to,weight,relationship,time
HP,RW,5,,
HP,HG,5,,
HP,RH,4,,
HP,AD,3,,
RW,HG,5,,
RW,RH,3,,
HG,RH,3,,
RH,AD,4,,
AD,SS,2,,
SS,LM,1,,
LV,SS,3,,
LV,LM,1,,
DM,LM,3,,
DM,VC,3,,
DM,GG,3,,
GG,VC,4,,
VC,GG,4,,
